iPhone 13 Pro,390 x 844
iPhone XR,414 x 896
iPhone XS,375 x 812
iPhone XS Max,414 x 896
iPhone X,375 x 812
iPhone 8 Plus,414 x 736
iPhone 8,375 x 667
iPhone 7 Plus,414 x 736
iPhone 7,375 x 667
iPhone 6 Plus/6S Plus,414 x 736
iPhone 6/6S,375 x 667
iPhone 5,320 x 568
iPod Touch,320 x 568
iPad Pro,1024 x 1366
iPad Third & Fourth Generation,768 x 1024
iPad Air 1 & 2,768 x 1024
iPad Mini 2 & 3,768 x 1024
iPad Mini,768 x 1024
Nexus 6P,412 x 732
Nexus 5X,412 x 732
Google Pixel 7 Pro,412 x 771
Google Pixel 4 XL,412 x 869
Google Pixel 4,412 x 869
Google Pixel 3a XL,412 x 824
Google Pixel 3a,412 x 846
Google Pixel 3 XL,412 x 847
Google Pixel 3,412 x 824
Google Pixel 2 XL,412 x 732
Google Pixel XL,412 x 732
Google Pixel,412 x 732
Samsung Galaxy Note 10+,412 x 869
Samsung Galaxy Note 10,412 x 869
Samsung Galaxy Note 9,360 x 740
Samsung Galaxy Note 5,480 x 853
LG G5,480 x 853
One Plus 3,480 x 853
Samsung Galaxy S9+,360 x 740
Samsung Galaxy S9,360 x 740
Samsung Galaxy S8+,360 x 740
Samsung Galaxy S8,360 x 740
Samsung Galaxy S7 Edge,360 x 640
Samsung Galaxy S7,360 x 640
Nexus 9,768 x 1024
Nexus 7 (2013),600 x 960
Pixel C,900 x 1280
Samsung Galaxy Tab 10,800 x 1280
Chromebook Pixel,1280 x 850